"","xm","ym","cover","x","y","progress","flow","std_flow","conductance"
"1",395500,640500,0.116249993443489,395.5,640.5,0.169139644893382,3.4935921143463e-17,6.02152353037902e-12,8.43339638198712e-06
"2",395500,639500,0.27250000834465,395.5,639.5,0.169139644893382,1.25657500750743e-16,2.16582123148283e-11,8.43339638198712e-06
"3",396500,637500,0.123125001788139,396.5,637.5,0.169139644893382,2.2107566231975e-16,3.81043996860976e-11,8.43339638198712e-06
"4",397500,637500,0.193124994635582,397.5,637.5,0.169139644893382,3.42086290893079e-16,5.89616813472281e-11,8.43339638198712e-06
"5",398500,637500,0.113750003278255,398.5,637.5,0.169139644893382,2.88026620402996e-16,4.96440058073782e-11,8.43339638198712e-06
"6",399500,637500,0.321875005960464,399.5,637.5,0.169139644893382,6.67351608021626e-16,1.15024114985742e-10,8.43339638198712e-06
"7",396500,636500,0.00499999988824129,396.5,636.5,0.169139644893382,7.55277232663501e-18,1.30178895520372e-12,8.43339638198712e-06
"8",397500,636500,0.0268750004470348,397.5,636.5,0.169139644893382,1.24271205446147e-16,2.14192717194908e-11,8.43339638198712e-06
"9",398500,636500,0.408125013113022,398.5,636.5,0.169139644893382,2.09429807986753e-15,3.60971308463971e-10,8.43339638198712e-06
"10",399500,636500,0.733124971389771,399.5,636.5,0.169139644893382,1.908588472284e-15,3.28962569742309e-10,8.43339638198712e-06
"11",400500,636500,0.133124992251396,400.5,636.5,0.169139644893382,4.573508586235e-16,7.88285771979925e-11,8.43339638198712e-06
"12",404500,636500,0.0949999988079071,404.5,636.5,0.169139644893381,3.62982860279869e-16,6.25633950032111e-11,8.43339638198712e-06
"13",405500,636500,0.215000003576279,405.5,636.5,0.169139644893381,5.67024093980995e-16,9.77317560964692e-11,8.43339638198712e-06
"14",406500,636500,0.0431249998509884,406.5,636.5,0.169139644893381,9.91489385578017e-17,1.70892206931151e-11,8.43339638198712e-06
"15",398500,635500,0.0199999995529652,398.5,635.5,0.169139644893382,6.93877870947067e-17,1.19596157489577e-11,8.43339638198712e-06
"16",399500,635500,0.215000003576279,399.5,635.5,0.169139644893382,7.72509542549571e-16,1.33149040748135e-10,8.43339638198712e-06
"17",404500,635500,0.0106250001117587,404.5,635.5,0.169139644893381,4.82266015648664e-17,8.31229309570942e-12,8.43339638198712e-06
"18",405500,635500,0.435000002384186,405.5,635.5,0.169139644893381,1.47824253221205e-15,2.54788535695658e-10,8.43339638198712e-06
"19",406500,635500,0.308750003576279,406.5,635.5,0.169139644893381,9.35560459905497e-16,1.61252348271552e-10,8.43339638198712e-06
"20",406500,633500,0.367500007152557,406.5,633.5,0.169139644893381,1.74655336619369e-15,3.01034346522901e-10,8.43339638198712e-06
"21",407500,633500,0.0106250001117587,407.5,633.5,0.169139644893381,6.11813185821503e-17,1.0545156314877e-11,8.43339638198712e-06
"22",400500,632500,0.118749998509884,400.5,632.5,0.169139644893382,5.69428037337641e-16,9.81460975826518e-11,8.43339638198712e-06
"23",401500,632500,0.0324999988079071,401.5,632.5,0.169139644893382,1.46311198300576e-16,2.5218064802328e-11,8.43339638198712e-06
