"","x1","y1","x2","y2","label","power","perc"
"675",400500,317500,392500,339500,"7094_7213",3.57364736936172e-14,5.42796458406399e-07
"676",312500,138500,340500,155500,"8260_8704",3.551864875799e-14,5.3948794496367e-07
"677",397500,317500,392500,339500,"7094_7210",3.51658219296669e-14,5.34128906058867e-07
"678",334500,275500,338500,288500,"7519_7647",3.5140571896512e-14,5.3374538672541e-07
"679",471500,263500,452500,309500,"7308_7721",3.49543603965239e-14,5.30917045474545e-07
"680",316500,139500,339500,156500,"8240_8688",3.47638771606502e-14,5.28023821405923e-07
"681",350500,297500,354500,313500,"7274_7394",3.4714063579096e-14,5.27267209662975e-07
"682",491500,230500,471500,263500,"7721_7844",3.45650169846912e-14,5.25003361129007e-07
"683",399500,318500,392500,339500,"7094_7197",3.43327921063634e-14,5.2147612890708e-07
"684",346500,158500,363500,173500,"7982_8198",3.42771133061689e-14,5.20630431152651e-07
"685",312500,138500,338500,156500,"8239_8704",3.42278299418995e-14,5.19881872808223e-07
"686",472500,263500,495500,301500,"7351_7722",3.42170110753558e-14,5.19717546509713e-07
"687",326500,240500,325500,256500,"7757_7819",3.41386856787036e-14,5.18527872669182e-07
"688",472500,263500,495500,302500,"7344_7722",3.41019557743689e-14,5.1796998712733e-07
"689",315500,135500,341500,155500,"8261_8770",3.3872961789528e-14,5.14491828508949e-07
"690",350500,154500,363500,173500,"7982_8284",3.33207758589049e-14,5.06104751202617e-07
"691",334500,275500,340500,291500,"7493_7647",3.32101517975788e-14,5.04424497319228e-07
"692",311500,141500,336500,156500,"8238_8621",3.32033867413585e-14,5.04321743796629e-07
"693",325500,256500,320500,284500,"7546_7757",3.30922454941841e-14,5.02633634447442e-07
"694",312500,138500,339500,155500,"8259_8704",3.3089651191374e-14,5.0259422993346e-07
"695",315500,136500,346500,139500,"8691_8747",3.29649926371767e-14,5.0070080803883e-07
"696",311500,141500,341500,155500,"8261_8621",3.29582270828473e-14,5.00598046950519e-07
"697",397500,320500,393500,344500,"7057_7178",3.27313846781122e-14,4.97152568390931e-07
"698",311500,140500,339500,156500,"8240_8653",3.24220554861528e-14,4.92454209193077e-07
"699",326500,256500,320500,284500,"7546_7758",3.2337559252782e-14,4.91170807349471e-07
"700",327500,259500,320500,285500,"7538_7736",3.22709708754403e-14,4.90159405505462e-07
"701",327500,234500,326500,255500,"7763_7832",3.21178971603447e-14,4.87834389580799e-07
"702",328500,239500,325500,256500,"7757_7820",3.20640179984159e-14,4.87016026288225e-07
"703",311500,140500,343500,155500,"8263_8653",3.17097265249046e-14,4.81634741086047e-07
"704",566500,328500,522500,363500,"6880_7127",3.1604038741892e-14,4.8002946366534e-07
"705",471500,264500,472500,306500,"7331_7719",3.10369371973755e-14,4.71415835119909e-07
"706",338500,155500,356500,199500,"7922_8258",3.06731843048442e-14,4.65890841705791e-07
"707",472500,264500,446500,315500,"7254_7720",3.05629737977864e-14,4.64216869242165e-07
"708",314500,137500,336500,156500,"8238_8724",3.02067740224124e-14,4.58806599101475e-07
"709",349500,297500,354500,313500,"7274_7393",3.02024680475475e-14,4.58741196232499e-07
