,x1,y1,x2,y2,label,power,perc
108,348500,157500,356500,198500,7927_8222,3.59E-09,0.000422017
109,350500,155500,355500,199500,7921_8265,3.58E-09,0.000420554
110,566500,328500,522500,362500,6899_7127,3.28E-09,0.000385218
111,502500,237500,472500,264500,7720_7824,3.27E-09,0.000384789
112,346500,157500,355500,199500,7921_8220,3.20E-09,0.000376541
113,347500,165500,356500,198500,7927_8040,2.91E-09,0.000342195
114,366500,174500,356500,198500,7927_7978,2.88E-09,0.000338395
115,347500,156500,355500,199500,7921_8244,2.86E-09,0.000335607
116,567500,328500,522500,362500,6899_7128,2.79E-09,0.000328192
117,348500,156500,355500,198500,7926_8245,2.78E-09,0.000326881
118,567500,334500,522500,362500,6899_7107,2.76E-09,0.000323819
119,363500,213500,326500,234500,7831_7880,2.60E-09,0.00030589
120,347500,158500,356500,199500,7922_8199,2.59E-09,0.00030405
121,363500,172500,355500,198500,7926_7989,2.58E-09,0.000303107
122,343500,155500,355500,199500,7921_8263,2.47E-09,0.000290602
123,355500,199500,329500,230500,7843_7921,2.40E-09,0.0002824
124,363500,213500,328500,233500,7836_7880,2.34E-09,0.000275136
125,355500,198500,327500,233500,7835_7926,2.34E-09,0.000274899
126,472500,264500,452500,309500,7308_7720,2.32E-09,0.000272965
127,356500,199500,327500,233500,7835_7922,2.26E-09,0.000265872
128,349500,157500,355500,199500,7921_8223,2.23E-09,0.000262258
129,350500,155500,355500,198500,7926_8265,2.18E-09,0.000256402
130,356500,198500,326500,235500,7828_7927,2.00E-09,0.000235196
131,346500,157500,355500,198500,7926_8220,1.94E-09,0.000228088
132,493500,234500,471500,263500,7721_7833,1.92E-09,0.000225779
133,567500,329500,522500,362500,6899_7121,1.91E-09,0.000224396
134,363500,213500,329500,228500,7851_7880,1.82E-09,0.000214369
135,355500,199500,363500,213500,7880_7921,1.82E-09,0.000214251
136,363500,172500,356500,199500,7922_7989,1.79E-09,0.000210861
137,347500,156500,355500,198500,7926_8244,1.73E-09,0.000203737
138,355500,199500,325500,237500,7823_7921,1.70E-09,0.000199245
139,348500,156500,356500,199500,7922_8245,1.60E-09,0.000188517
140,355500,199500,328500,229500,7846_7921,1.50E-09,0.000176284
141,343500,155500,355500,198500,7926_8263,1.49E-09,0.000175097
142,356500,198500,329500,228500,7851_7927,1.49E-09,0.000174564
143,566500,328500,521500,362500,6898_7127,1.47E-09,0.000172877
144,471500,263500,495500,302500,7344_7721,1.46E-09,0.000171746
145,347500,158500,356500,198500,7927_8199,1.44E-09,0.00016921
146,471500,263500,484500,297500,7401_7721,1.39E-09,0.000163421
147,341500,155500,355500,199500,7921_8261,1.38E-09,0.000162057
148,471500,263500,496500,302500,7345_7721,1.36E-09,0.000160425
149,349500,157500,355500,198500,7926_8223,1.36E-09,0.000159653
150,356500,198500,326500,234500,7831_7927,1.36E-09,0.000159251
151,348500,157500,362500,173500,7981_8222,1.34E-09,0.000157356
152,355500,198500,327500,235500,7829_7926,1.30E-09,0.00015265
153,350500,155500,356500,199500,7922_8265,1.28E-09,0.000150318
154,356500,199500,327500,235500,7829_7922,1.28E-09,0.000149939
155,567500,328500,521500,362500,6898_7128,1.25E-09,0.000146906
156,346500,158500,355500,199500,7921_8198,1.25E-09,0.000146809
157,471500,263500,495500,301500,7351_7721,1.24E-09,0.000146035
158,355500,198500,328500,230500,7842_7926,1.23E-09,0.000144894
159,347500,157500,362500,173500,7981_8221,1.21E-09,0.000142411
160,567500,334500,521500,362500,6898_7107,1.21E-09,0.000142044
161,471500,263500,452500,310500,7300_7721,1.20E-09,0.000141203
162,363500,213500,327500,233500,7835_7880,1.18E-09,0.00013899
163,356500,199500,328500,230500,7842_7922,1.17E-09,0.000137999
164,472500,264500,451500,314500,7268_7720,1.14E-09,0.000133468
165,356500,198500,328500,233500,7836_7927,1.13E-09,0.000132589
166,355500,199500,325500,235500,7827_7921,1.11E-09,0.0001309
167,346500,157500,356500,199500,7922_8220,1.10E-09,0.000129486
168,492500,229500,472500,264500,7720_7850,1.06E-09,0.000125082
169,340500,155500,355500,199500,7921_8260,1.06E-09,0.000124191
