"","xm","ym","cover","x","y","progress","flow","std_flow","conductance"
"1",545625,106875,0.0199999995529652,545.625,106.875,0.829177369164129,0.00249656782108328,0.00169508166976067,82.6726545478516
"2",545875,106875,0.189999997615814,545.875,106.875,0.831141156875036,0.0265512831745635,0.0180273866536895,82.6726545478516
"3",544375,106625,0.109999999403954,544.375,106.625,0.821126490962029,0.00815217330841994,0.00553503871479801,82.6726545478516
"4",544625,106625,0.0199999995529652,544.625,106.625,0.822130448326627,0.00166648181108142,0.00113148248851816,82.6726545478516
"5",545375,106625,0.230000004172325,545.375,106.625,0.826046141298016,0.0269237455643207,0.0182802755054247,82.6726545478516
"6",545625,106625,0.340000003576279,545.625,106.625,0.827694517219369,0.0444950555641567,0.0302105764741685,82.6726545478516
"7",545875,106625,0.28999999165535,545.875,106.625,0.829552887421966,0.0424399482666113,0.0288152309602025,82.6726545478516
"8",546375,106625,0.150000005960464,546.375,106.625,0.834031377501898,0.0274638070661721,0.0186469582546778,82.6726545478516
"9",548625,106625,0.319999992847443,548.625,106.625,0.869513927042308,0.147004941532566,0.0998111806343674,82.6726545478516
"10",548875,106625,0.0599999986588955,548.875,106.625,0.875152971179596,0.0303600133963969,0.0206133804046192,82.6726545478516
"11",544125,106375,0.0900000035762787,544.125,106.375,0.819174760458759,0.0061939328241346,0.00420546235726287,82.6726545478516
"12",544375,106375,0.259999990463257,544.375,106.375,0.819981336946553,0.0201883496662007,0.0137071787807659,82.6726545478516
"13",544875,106375,0.150000005960464,544.875,106.375,0.82201629340317,0.0146930520878745,0.00997606516300766,82.6726545478516
"14",545125,106375,0.740000009536743,545.125,106.375,0.823251765885725,0.0810943366489199,0.0550602000130482,82.6726545478516
"15",545375,106375,0.990000009536743,545.375,106.375,0.824638441432679,0.12124355949291,0.0823201090462637,82.6726545478516
"16",545625,106375,0.550000011920929,545.625,106.375,0.82619594619385,0.075244496401693,0.0510883644032309,82.6726545478516
"17",545875,106375,0.889999985694885,545.875,106.375,0.827947299143528,0.135906470543532,0.092275709505961,82.6726545478516
"18",546125,106375,0.569999992847443,546.125,106.375,0.829918360888715,0.097232477547874,0.0660174296107454,82.6726545478516
"19",546375,106375,0.629999995231628,546.375,106.375,0.832140852856555,0.120086930509237,0.0815347986804168,82.6726545478516
"20",546625,106375,0.109999999403954,546.625,106.375,0.834650382430355,0.0234336570041295,0.0159106282263636,82.6726545478516
"21",546875,106375,0.0199999995529652,546.875,106.375,0.837478952001413,0.00475169185315301,0.00322623150575412,82.6726545478516
"22",547125,106375,0.0299999993294477,547.125,106.375,0.840635984245875,0.00792655971703648,0.00538185502798872,82.6726545478516
"23",547625,106375,0.129999995231628,547.625,106.375,0.847881961847005,0.0420657715021694,0.0285611781084035,82.6726545478516
"24",547875,106375,0.200000002980232,547.875,106.375,0.85192393889908,0.07145982864406,0.0485187082184795,82.6726545478516
"25",548125,106375,0.389999985694885,548.125,106.375,0.856242971140107,0.153742619347639,0.104385826700313,82.6726545478516
"26",548375,106375,0.490000009536743,548.375,106.375,0.860855670035174,0.213146176195462,0.144718750757484,82.6726545478516
"27",548625,106375,0.970000028610229,548.625,106.375,0.865792481003772,0.466083672937872,0.316454407486878,82.6726545478516
"28",548875,106375,0.0599999986588955,548.875,106.375,0.871134895606645,0.031843904535709,0.0216208902543123,82.6726545478516
"29",544125,106125,0.280000001192093,544.125,106.125,0.818072400530674,0.020090580014307,0.0136407966286833,82.6726545478516
"30",544375,106125,0.550000011920929,544.375,106.125,0.818813491736484,0.0445239121432517,0.0302301690756043,82.6726545478516
"31",544625,106125,0.0700000002980232,544.625,106.125,0.819689432318023,0.0063780599530818,0.00433047819642747,82.6726545478516
"32",544875,106125,0.850000023841858,544.875,106.125,0.820707252477251,0.0868752903848558,0.0589852641065474,82.6726545478516
"33",545125,106125,0.639999985694885,545.125,106.125,0.821864643252266,0.0732035481052833,0.0497026323526302,82.6726545478516
"34",545375,106125,0.860000014305115,545.375,106.125,0.823163360706067,0.109847217740675,0.0745823941548819,82.6726545478516
"35",545625,106125,0.810000002384186,545.625,106.125,0.82461868038041,0.11543707474124,0.0783777102917896,82.6726545478516
"36",545875,106125,0.639999985694885,545.875,106.125,0.82625357016058,0.101744427930635,0.0690808850971537,82.6726545478516
"37",546125,106125,0.800000011920929,546.125,106.125,0.828088231654324,0.141818037552758,0.0962894554143547,82.6726545478516
"38",546375,106125,0.910000026226044,546.375,106.125,0.83014863503224,0.180016878422697,0.12222512374186,82.6726545478516
"39",546625,106125,0.899999976158142,546.625,106.125,0.832469586438005,0.198739755500254,0.134937298220492,82.6726545478516
"40",546875,106125,0.689999997615814,546.875,106.125,0.835088570660322,0.170063435418281,0.115467086309305,82.6726545478516
"41",547125,106125,0.639999985694885,547.125,106.125,0.838028162734426,0.175632306340136,0.119248153637491,82.6726545478516
"42",547375,106125,0.189999997615814,547.375,106.125,0.841290260917631,0.0578957728004093,0.0393091917639231,82.6726545478516
"43",547625,106125,0.879999995231628,547.625,106.125,0.84484677249599,0.296587062359515,0.201372175291291,82.6726545478516
"44",547875,106125,0.990000009536743,547.875,106.125,0.848668887106697,0.368375835666903,0.250114225357112,82.6726545478516
"45",548125,106125,1,548.125,106.125,0.852753135027102,0.410451888238113,0.278682383949494,82.6726545478516
"46",548375,106125,0.779999971389771,548.375,106.125,0.857105531003104,0.352907905273964,0.239612045101169,82.6726545478516
"47",548625,106125,1,548.625,106.125,0.861739386092828,0.498837401516665,0.338693036240067,82.6726545478516
"48",548875,106125,0.75,548.875,106.125,0.866712896783619,0.412915363158706,0.280354996704713,82.6726545478516
"49",549125,106125,0.0500000007450581,549.125,106.125,0.872121737548855,0.0303383261161143,0.0205986555047132,82.6726545478516
"50",543625,105875,0.0399999991059303,543.625,105.875,0.815918786084591,0.00232459403984843,0.00157831752588729,82.6726545478516
"51",543875,105875,0.319999992847443,543.875,105.875,0.816383994846809,0.021090015475611,0.0143193781261529,82.6726545478516
"52",544125,105875,0.46000000834465,544.125,105.875,0.816940206344522,0.0342905490647426,0.0232820757661024,82.6726545478516
"53",544375,105875,0.990000009536743,544.375,105.875,0.817604908187497,0.0832026155074043,0.0564916471452195,82.6726545478516
"54",544625,105875,0.689999997615814,544.625,105.875,0.818392879496392,0.0652349310223678,0.0442922218536553,82.6726545478516
"55",544875,105875,0.509999990463257,544.875,105.875,0.819312289872824,0.0541192791107565,0.036745085483598,82.6726545478516
"56",545125,105875,0.0299999993294477,545.125,105.875,0.820362234850165,0.00356466225305844,0.00242028019147716,82.6726545478516
"57",545375,105875,0.349999994039536,545.375,105.875,0.82154497505621,0.0464569206785222,0.0315426138279388,82.6726545478516
"58",546125,105875,0.0900000035762787,546.125,105.875,0.826048022670119,0.0165511946266334,0.0112376785390409,82.6726545478516
"59",546375,105875,0.300000011920929,546.375,105.875,0.827933776414334,0.0614662160477832,0.0417333970470459,82.6726545478516
"60",546625,105875,0.349999994039536,546.625,105.875,0.830054776215946,0.079936412910422,0.0542740105542508,82.6726545478516
"61",546875,105875,0.5,546.875,105.875,0.832446498310077,0.12729981489292,0.0864320932788779,82.6726545478516
"62",547125,105875,0.319999992847443,547.125,105.875,0.835140894211229,0.0907756564205107,0.0616334753494236,82.6726545478516
"63",547375,105875,0.280000001192093,547.375,105.875,0.838150524668337,0.0882712187018943,0.0599330502962633,82.6726545478516
"64",547625,105875,0.28999999165535,547.625,105.875,0.841458157104563,0.101314786471243,0.0687891736698755,82.6726545478516
"65",547875,105875,0.349999994039536,547.875,105.875,0.845034026445891,0.135021086220883,0.0916745647169661,82.6726545478516
"66",548125,105875,0.389999985694885,548.125,105.875,0.848862366707516,0.165845546151273,0.112603287969357,82.6726545478516
"67",548375,105875,0.310000002384186,548.375,105.875,0.852937446135311,0.145178798440947,0.0985712937565414,82.6726545478516
"68",548625,105875,0.670000016689301,548.625,105.875,0.857256492777243,0.345314393631144,0.234456317992071,82.6726545478516
"69",548875,105875,1,548.875,105.875,0.861841088184713,0.567322248149138,0.385191836393913,82.6726545478516
"70",549125,105875,0.740000009536743,549.125,105.875,0.866766728733734,0.462282352836499,0.3138734449469,82.6726545478516
"71",543625,105625,0.370000004768372,543.625,105.625,0.814889022459301,0.0222741965574764,0.0151233953968219,82.6726545478516
"72",543875,105625,1,543.875,105.625,0.815286179683103,0.0682285777180771,0.0463248025817986,82.6726545478516
"73",544125,105625,0.930000007152557,544.125,105.625,0.815759830489459,0.0717369634796116,0.0487068730164988,82.6726545478516
"74",544375,105625,0.649999976158142,544.375,105.625,0.816328021563,0.0565198476957151,0.0383749870512634,82.6726545478516
"75",544625,105625,0.310000002384186,544.625,105.625,0.817002406440222,0.0303048371737514,0.0205759176916805,82.6726545478516
"76",544875,105625,0.00999999977648258,544.875,105.625,0.817790577837943,0.00109662234437947,0.000744567970038581,82.6726545478516
"77",545375,105625,0.100000001490116,545.375,105.625,0.819726204642034,0.0137352724897192,0.00932576653030348,82.6726545478516
"78",546875,105625,0.00999999977648258,546.875,105.625,0.82942161401794,0.00262673901361588,0.0017834633273826,82.6726545478516
"79",548375,105625,0.0399999991059303,548.375,105.625,0.848203338763174,0.0193142975930622,0.0131137281902867,82.6726545478516
"80",548875,105625,0.5,548.875,105.625,0.856403355903072,0.291349759236498,0.197816230827121,82.6726545478516
"81",549125,105625,0.990000009536743,549.125,105.625,0.860844301162725,0.633267822730297,0.429966560208889,82.6726545478516
"82",549375,105625,0.230000004172325,549.375,105.625,0.865601926371242,0.161399839487395,0.10958480963625,82.6726545478516
"83",543625,105375,0.660000026226044,543.625,105.375,0.81380831112808,0.0411163612899868,0.0279165619941671,82.6726545478516
"84",543875,105375,1,543.875,105.375,0.814130183752601,0.0705245766843766,0.0478837050593107,82.6726545478516
"85",544125,105375,1,544.125,105.375,0.814506068501114,0.0796283302284622,0.0540648332579039,82.6726545478516
"86",544375,105375,0.400000005960464,544.375,105.375,0.814953010743136,0.0358721991382952,0.0243559604909689,82.6726545478516
"87",545125,105375,0.0199999995529652,545.125,105.375,0.816837450250425,0.00253247297630012,0.0017194600062689,82.6726545478516
"88",545375,105375,0.25,545.375,105.375,0.817676689507775,0.0354029005499909,0.0240373232691153,82.6726545478516
"89",546875,105375,0.540000021457672,546.875,105.375,0.825944509681096,0.146277700177354,0.0993174093535308,82.6726545478516
"90",548125,105375,0.0500000007450581,548.125,105.375,0.83936821027632,0.0225582561117022,0.0153162618350666,82.6726545478516
"91",548375,105375,0.00999999977648258,548.375,105.375,0.842823579852616,0.00496309099288064,0.00336976408024673,82.6726545478516
"92",548875,105375,0.0199999995529652,548.875,105.375,0.850293523717582,0.0119416061174178,0.00810793020169336,82.6726545478516
"93",549125,105375,0.740000009536743,549.125,105.375,0.854271958866733,0.483742613938659,0.328444206820601,82.6726545478516
"94",549375,105375,0.5,549.375,105.375,0.85845067340384,0.357528701809943,0.242749403294159,82.6726545478516
"95",549625,105375,0.100000001490116,549.625,105.375,0.862890827268934,0.0780454657442865,0.0529901239909724,82.6726545478516
"96",543625,105125,0.800000011920929,543.625,105.125,0.81264551021284,0.0515636302459219,0.03500988986482,82.6726545478516
"97",543875,105125,1,543.875,105.125,0.812883429192054,0.0728749900685324,0.0494795530111256,82.6726545478516
"98",544125,105125,0.910000026226044,544.125,105.125,0.813147642123808,0.0747894201290755,0.0507793836330942,82.6726545478516
"99",544375,105125,0.46000000834465,544.375,105.125,0.81345229226269,0.0425359960005225,0.0288804439905876,82.6726545478516
"100",545375,105125,0.00999999977648258,545.375,105.125,0.815370075914986,0.00145890939839003,0.00099054812697997,82.6726545478516
"101",546875,105125,0.0199999995529652,546.875,105.125,0.821987049902921,0.00558877492812148,0.00379458144780788,82.6726545478516
"102",547625,105125,0.140000000596046,547.625,105.125,0.8281827507241,0.0531381161938345,0.0360789104005587,82.6726545478516
