"","x","y","distN","distE","sector","angle"
"1",543397.949289232,103987.378413562,1,0.150398807703464,"N W",2.18098677821494
"2",543397.949289232,104237.378413562,1,0.142076177891588,"N W",2.1920792998206
"3",543397.949289232,104487.378413562,1,0.133753548079712,"N W",2.20299842065807
"4",543397.949289232,104737.378413562,1,0.125430918267836,"N W",2.21374563199037
"5",543397.949289232,104987.378413562,1,0.11710828845596,"N W",2.22432253735384
"6",543397.949289232,105237.378413562,1,0.108785658644084,"N W",2.23473084229966
"7",543397.949289232,105487.378413562,1,0.100463028832208,"N W",2.24497234457455
"8",543397.949289232,105737.378413562,1,0.0921403990203322,"N W",2.25504892474983
"9",543397.949289232,105987.378413562,1,0.0838177692084563,"W",2.26496253730385
"10",543647.949289232,103987.378413562,1,0.153846153846154,"N W",2.17634099039987
"11",543647.949289232,105987.378413562,1,0.0803704230657666,"W",2.26902163199767
"12",543647.949289232,106237.378413562,1,0.0720477932538906,"W",2.27870823555895
"13",543647.949289232,106487.378413562,1,0.0686004471112009,"W",2.28267416077394
"14",543897.949289232,103737.378413562,1,0.165616129800719,"N W",2.16025210963902
"15",543897.949289232,103987.378413562,1,0.16216878365803,"N W",2.16500093843532
"16",543897.949289232,106487.378413562,1,0.0602778172993249,"W",2.29213795192992
"17",543897.949289232,106737.378413562,1,0.0568304711566353,"W",2.29601247424154
"18",544147.949289232,103737.378413562,1,0.173938759612595,"N W",2.14866217846481
"19",544147.949289232,106737.378413562,1,0.0485078413447593,"W",2.30525777814363
"20",544397.949289232,103487.378413562,1,0.185708735567161,"N W",2.13196769566163
"21",544397.949289232,103737.378413562,1,0.182261389424471,"N W",2.13689437192722
"22",544397.949289232,106737.378413562,1,0.0450604952020696,"W",2.30904271163568
"23",544397.949289232,106987.378413562,1,0.0367378653901936,"W",2.31807395495253
"24",544397.949289232,107237.378413562,1,0.0284152355783176,"W",2.32695654908058
"25",544647.949289232,102237.378413562,1,0.23766392305461,"N",2.05398628546625
"26",544647.949289232,102487.378413562,1,0.229341293242734,"N W",2.06694901410713
"27",544647.949289232,102737.378413562,1,0.221018663430858,"N W",2.07973235254485
"28",544647.949289232,103237.378413562,1,0.197478711521727,"N W",2.11491535710405
"29",544647.949289232,103487.378413562,1,0.194031365379037,"N W",2.11994702552069
"30",544647.949289232,106987.378413562,1,0.0332905192475039,"W",2.32177115051287
"31",544647.949289232,107237.378413562,1,0.024967889435628,"W",2.33059283676624
"32",544647.949289232,107487.378413562,1,0.016645259623752,"W",2.33926909240941
"33",544647.949289232,107737.378413562,1,0.00832262981187598,"W",2.3478022099281
"34",544647.949289232,107987.378413562,1,0,"W",2.35619449019234
"35",544897.949289232,100987.378413562,1,0.28272441825668,"N",1.98072900139592
"36",544897.949289232,101237.378413562,1,0.274401788444804,"N",1.99464475378958
"37",544897.949289232,101487.378413562,1,0.266079158632928,"N",2.00838793749331
"38",544897.949289232,101737.378413562,1,0.257756528821052,"N",2.02195664834807
"39",544897.949289232,101987.378413562,1,0.249433899009176,"N",2.03534928711733
"40",544897.949289232,102237.378413562,1,0.2411112691973,"N",2.04856454836083
"41",544897.949289232,102737.378413562,1,0.217571317288168,"N W",2.0849747414828
"42",544897.949289232,102987.378413562,1,0.209248687476292,"N W",2.09750376979967
"43",544897.949289232,103237.378413562,1,0.205801341333603,"N W",2.10264075753356
"44",544897.949289232,107987.378413562,1,0.00832262981187598,"W",2.3478022099281
"45",545147.949289232,100237.378413562,1,0.311139653834997,"N",1.93195012541162
"46",545147.949289232,100487.378413562,1,0.302817024023121,"N",1.94643635004458
"47",545147.949289232,100737.378413562,1,0.294494394211245,"N",1.96075893970154
"48",545147.949289232,100987.378413562,1,0.286171764399369,"N",1.97491487585129
"49",545147.949289232,107987.378413562,1,0.016645259623752,"W",2.33926909240941
"50",545147.949289232,99987.3784135617,1,0.319462283646873,"N",1.91730362826658
"51",545397.949289232,107987.378413562,1,0.024967889435628,"W",2.33059283676624
"52",545397.949289232,99737.3784135617,1,0.331232259601439,"N",1.89632403427719
"53",545397.949289232,99987.3784135617,1,0.322909629789563,"N",1.91119077056063
"54",545647.949289232,107987.378413562,1,0.0332905192475039,"W",2.32177115051287
"55",545647.949289232,99237.3784135617,1,0.35132486536788,"N E",1.85982040629981
"56",545647.949289232,99487.3784135617,1,0.343002235556004,"N",1.8750430891858
"57",545647.949289232,99737.3784135617,1,0.334679605744128,"N",1.89012163657928
"58",545897.949289232,107987.378413562,1,0.0416131490593799,"W",2.31280175423163
"59",545897.949289232,98987.3784135617,1,0.363094841322446,"N E",1.83805616315206
"60",545897.949289232,99237.3784135617,1,0.35477221151057,"N E",1.85347393274324
"61",546147.949289232,107987.378413562,1,0.0499357788712559,"W",2.30368238662265
"62",546147.949289232,98987.3784135617,1,0.366542187465136,"N E",1.83163113417697
"63",546397.949289232,107987.378413562,1,0.0582584086831319,"W",2.29441080993469
"64",546397.949289232,98737.3784135617,1,0.378312163419701,"N E",1.80953067760811
"65",546397.949289232,98987.3784135617,1,0.374864817277012,"N E",1.81602943532584
"66",546647.949289232,107987.378413562,1,0.0665810384950079,"W",2.28498481579136
"67",546647.949289232,98487.3784135617,1,0.390082139374267,"N E",1.78718993164647
"68",546647.949289232,98737.3784135617,1,0.386634793231577,"N E",1.79375719003575
"69",546897.949289232,107987.378413562,1,0.0749036683068839,"W",2.27540223142609
"70",546897.949289232,98237.3784135617,1,0.401852115328833,"N E",1.7646276024549
"71",546897.949289232,98487.3784135617,1,0.398404769186143,"N E",1.77125774753819
"72",547147.949289232,107987.378413562,1,0.0832262981187598,"W",2.26566092633825
"73",547147.949289232,98237.3784135617,1,0.410174745140709,"N E",1.74855072224694
"74",547397.949289232,107987.378413562,1,0.0915489279306358,"N W",2.25575881938109
"75",547397.949289232,97987.3784135617,1,0.421944721095274,"N E",1.72565694685113
"76",547397.949289232,98237.3784135617,1,0.418497374952585,"N E",1.73238044349687
"77",547647.949289232,107987.378413562,1,0.0998715577425118,"N W",2.24569388629091
"78",547647.949289232,97737.3784135617,1,0.43371469704984,"N E",1.70259837966034
"79",547647.949289232,97987.3784135617,1,0.43026735090715,"N E",1.70936780669836
"80",547897.949289232,107987.378413562,1,0.108194187554388,"N W",2.23546416766436
"81",547897.949289232,97487.3784135617,1,0.445484673004406,"N E",1.67939799580096
"82",547897.949289232,97737.3784135617,1,0.442037326861716,"N E",1.68620652570507
"83",548147.949289232,107987.378413562,1,0.116516817366264,"N W",2.22506777738872
"84",548147.949289232,97237.3784135617,1,0.457254648958971,"E",1.65607966329667
"85",548147.949289232,97487.3784135617,1,0.453807302816282,"E",1.66292022068694
"86",548397.949289232,107987.378413562,1,0.12483944717814,"N W",2.21450291152712
"87",548397.949289232,97237.3784135617,1,0.465577278770847,"E",1.63953330872982
"88",548647.949289232,107737.378413562,1,0.136609423132705,"N W",2.19927102235848
"89",548647.949289232,107987.378413562,1,0.133162076990016,"N W",2.20376785765735
"90",548647.949289232,96987.3784135617,1,0.477347254725413,"E",1.61607085763617
"91",548647.949289232,97237.3784135617,1,0.473899908582723,"E",1.62294917428048
"92",548897.949289232,107737.378413562,1,0.144932052944581,"N W",2.18829256187052
"93",548897.949289232,96987.3784135617,1,0.485669884537289,"E",1.59944871432989
"94",549147.949289232,107487.378413562,1,0.156702028899147,"N W",2.17246951778914
"95",549147.949289232,107737.378413562,1,0.153254682756457,"N W",2.17714021667766
"96",549147.949289232,96737.3784135617,1,0.497439860491855,"E",1.57591656106533
"97",549147.949289232,96987.3784135617,1,0.493992514349165,"E",1.58281071998808
"98",549397.949289232,107487.378413562,1,0.165024658711023,"N W",2.16106903511701
"99",549397.949289232,96737.3784135617,1,0.505762490303731,"E",1.55927185641597
"100",549647.949289232,107237.378413562,1,0.176794634665589,"N W",2.14464419549552
"101",549647.949289232,107487.378413562,1,0.173347288522899,"N W",2.14949171054575
