"","x","y","distN","distE","sector","angle"
"1",133500,22500,0.0547561015942835,0.471885823110404,"S",-1.6338559254646
"2",133500,23500,0.055144099069017,0.470908981790439,"S",-1.63609759822214
"3",133500,24500,0.0555320965437506,0.469932140470474,"S",-1.6383425259425
"4",133500,25500,0.0559200940184841,0.468955299150509,"S",-1.64059069304358
"5",133500,26500,0.0563080914932176,0.467978457830544,"S",-1.64284208376732
"6",133500,27500,0.0566960889679512,0.467001616510579,"S",-1.64509668217972
"7",133500,30500,0.0578600813921518,0.464071092550684,"S",-1.65187956157108
"8",133500,31500,0.0582480788668853,0.463094251230719,"S",-1.65414682788181
"9",133500,32500,0.0586360763416189,0.462117409910754,"S",-1.65641721957492
"10",134500,21500,0.0553048128852182,0.473267285353385,"S",-1.63083876270626
"11",134500,22500,0.0556928103599517,0.47229044403342,"S",-1.63308141893068
"12",134500,27500,0.0576327977336194,0.467406237433595,"S",-1.64434376023424
"13",134500,28500,0.058020795208353,0.46642939611363,"S",-1.64660592984705
"14",134500,29500,0.0584087926830865,0.465452554793665,"S",-1.64887129552027
"15",134500,30500,0.05879679015782,0.4644757134737,"S",-1.6511398407316
"16",134500,32500,0.0595727851072871,0.461712788987738,"S",-1.65751031050787
"17",134500,33500,0.0599607825820207,0.460735947667773,"S",-1.65978917671401
"18",135500,20500,0.0558535241761529,0.474648747596366,"S",-1.62781304607832
"19",135500,21500,0.0562415216508864,0.473671906276401,"S",-1.6300566412566
"20",135500,33500,0.0608974913476889,0.460331326744757,"S",-1.66089210363007
"21",135500,34500,0.0612854888224224,0.459354485424792,"S",-1.6631794508179
"22",135500,35500,0.061673486297156,0.458377644104827,"S",-1.6654698758048
"23",136500,20500,0.0567902329418211,0.475053368519382,"S",-1.62702328396514
"24",136500,35500,0.0626101950628242,0.457973023181811,"S",-1.66658811297113
"25",136500,36500,0.0629981925375577,0.456996181861846,"S",-1.6688870083468
"26",136500,37500,0.0633861900122913,0.456019340541881,"S",-1.6711889470996
"27",137500,20500,0.0577269417074893,0.476030209839347,"S",-1.62494016894884
"28",137500,37500,0.0643228987779595,0.455614719618865,"S",-1.6723226032016
"29",138500,20500,0.0586636504731575,0.477007051159312,"S",-1.62284773793047
"30",138500,37500,0.0652596075436278,0.455210098695849,"S",-1.67346088104694
"31",139500,20500,0.0596003592388258,0.477983892479277,"S",-1.620745946722
"32",139500,21500,0.0599883567135593,0.478388513402293,"S",-1.61987260433349
"33",139500,37500,0.066196316309296,0.454805477772833,"S",-1.67460380598877
"34",140500,21500,0.0609250654792275,0.479365354722258,"S",-1.61775750025717
"35",140500,37500,0.0671330250749642,0.454400856849817,"S",-1.67575140353912
"36",140500,38500,0.0675210225496977,0.453424015529852,"S",-1.67807821187349
"37",141500,21500,0.0618617742448958,0.480342196042223,"S",-1.61563292904924
"38",141500,38500,0.068457731315366,0.453019394606836,"S",-1.6792360170498
"39",141500,39500,0.0688457287900995,0.452042553286871,"S",-1.68157134543861
"40",142500,21500,0.062798483010564,0.481319037362188,"S",-1.61349884631436
"41",142500,39500,0.0697824375557677,0.451637932363855,"S",-1.68273942344221
"42",143500,21500,0.0637351917762322,0.482295878682153,"S",-1.61135520760537
"43",143500,39500,0.070719146321436,0.451233311440839,"S",-1.68391229034749
"44",143500,40500,0.0711071437961695,0.450256470120874,"S",-1.68626168845678
"45",144500,21500,0.0646719005419005,0.483272720002118,"S",-1.60920196842744
"46",144500,22500,0.065059898016634,0.483677340925134,"S",-1.60830724514832
"47",144500,40500,0.0720438525618377,0.449851849197858,"S",-1.68744493881184
"48",145500,22500,0.0659966067823023,0.484654182245099,"S",-1.60614035281631
"49",145500,40500,0.072980561327506,0.449447228274842,"S",-1.68863305011676
"50",145500,41500,0.0733685588022395,0.448470386954877,"S",-1.69099657552438
"51",146500,22500,0.0669333155479705,0.485631023565064,"S",-1.60396375242537
"52",146500,23500,0.067321313022704,0.48603564448808,"S",-1.60305932108189
"53",146500,41500,0.0743052675679078,0.448065766031861,"S",-1.69219518127301
"54",146500,42500,0.0746932650426413,0.447088924711896,"S",-1.69456726366631
"55",147500,23500,0.0682580217883723,0.487012485808045,"S",-1.60086891523703
"56",147500,24500,0.0686460192631058,0.487417106731061,"S",-1.59995874699163
"57",147500,25500,0.069582728028774,0.488393948051026,"S",-1.59775444636894
"58",147500,28500,0.0731688492752458,0.492133713856953,"S",-1.58922374411289
"59",147500,42500,0.0756299738083095,0.44668430378888,"S",-1.69577642886653
"60",148500,25500,0.0699707255035076,0.488798568974042,"S",-1.59683850420956
"61",148500,26500,0.0709074342691758,0.489775410294007,"S",-1.59462021942857
"62",148500,27500,0.0718441430348441,0.490752251613972,"S",-1.59239199238776
"63",148500,28500,0.0727808518005123,0.491729092933937,"S",-1.5901537783714
"64",148500,29500,0.0737175605661805,0.492705934253902,"S",-1.58790553266228
"65",148500,30500,0.0746542693318487,0.493682775573867,"S",-1.58564721054712
"66",148500,42500,0.0765666825739778,0.446279682865864,"S",-1.69699057412681
"67",149500,30500,0.0750422668065823,0.494087396496883,"S",-1.58470882105055
"68",149500,42500,0.077503391339646,0.445875061942848,"S",-1.69820972667505
"69",150500,28500,0.0735568467499794,0.492538334779969,"S",-1.58829198551013
"70",150500,29500,0.0744935555156476,0.493515176099934,"S",-1.58603539541027
"71",150500,30500,0.0754302642813158,0.494492017419899,"S",-1.58376869186955
"72",150500,42500,0.0784401001053142,0.445470441019832,"S",-1.69943391390463
"73",151500,28500,0.0739448442247129,0.492942955702985,"S",-1.58735849938546
"74",151500,42500,0.0793768088709825,0.445065820096817,"S",-1.70066316337529
"75",152500,27500,0.0744935555156476,0.493515176099934,"S",-1.58603539541027
"76",152500,28500,0.0748815529903812,0.49391979702295,"S",-1.58509772558429
"77",152500,29500,0.0752695504651147,0.494324417945966,"S",-1.58415831738949
"78",152500,42500,0.0803135176366507,0.444661199173801,"S",-1.70189750281398
"79",153500,26500,0.0750422668065823,0.494087396496883,"S",-1.58470882105055
"80",153500,27500,0.0754302642813158,0.494492017419899,"S",-1.58376869186955
"81",153500,39500,0.0835116414083889,0.44718710221068,"S",-1.69692837167564
"82",153500,40500,0.0825749326427207,0.446210260890715,"S",-1.69895092655566
"83",153500,41500,0.0816382238770525,0.44523341957075,"S",-1.70096337783833
"84",153500,42500,0.0812502264023189,0.444256578250785,"S",-1.70313696011569
"85",154500,26500,0.0759789755722505,0.495064237816848,"S",-1.58243617243438
"86",154500,39500,0.0838996388831225,0.446782481287664,"S",-1.69800161829872
"87",154500,40500,0.0829629301174542,0.445805639967699,"S",-1.70002308772928
"88",155500,26500,0.0769156843379187,0.496041079136813,"S",-1.58015333951456
"89",155500,40500,0.0838996388831225,0.445401019044683,"S",-1.70126683152062
"90",155500,41500,0.0835116414083889,0.444424177724718,"S",-1.70345175455918
"91",156500,26500,0.077852393103587,0.497017920456778,"S",-1.57786027763345
"92",156500,41500,0.0844483501740572,0.444019556801702,"S",-1.70470373356921
"93",156500,42500,0.0840603526993236,0.443042715481737,"S",-1.70688632068751
"94",156500,43500,0.0844483501740571,0.442065874161772,"S",-1.7093184503149
"95",156500,44500,0.0848363476487907,0.441089032841807,"S",-1.71175347303927
"96",157500,25500,0.0784011043945217,0.497590140853727,"S",-1.57651226420937
